host_ip,service_name,trace_id,span_id,parent_id,start_time,end_time,url,status_code,message,run_fault,trace_fault,timestamp
0.0.0.4,mobservice2,c124e30fb40651dc,c9fbaed1bc788fa1,e0be90c60eb65aeb,2021-07-01 10:54:22.251149,2021-07-01 10:54:22.439266,http://0.0.0.4:9383/mob_info_to_redis?uuid=a3036736-da17-11eb-9811-0242ac110003&user_id=ToeLCkHR,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079263
0.0.0.4,mobservice2,9c93009a121c86a1,b6069df310150add,a59107c087fb9e03,2021-07-01 10:54:27.386150,2021-07-01 10:54:27.455308,http://0.0.0.4:9383/mob_info_to_redis?uuid=a62dfc64-da17-11eb-9196-0242ac110003&user_id=TpPSMOEF,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079264
0.0.0.4,mobservice2,9c93009a121c86a1,b6069df310150add,a59107c087fb9e03,2021-07-01 10:54:27.386150,2021-07-01 10:54:27.455308,http://0.0.0.4:9383/mob_info_to_redis?uuid=a62dfc64-da17-11eb-9196-0242ac110003&user_id=TpPSMOEF,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079265
0.0.0.4,mobservice2,9c93009a121c86a1,b6069df310150add,a59107c087fb9e03,2021-07-01 10:54:27.386150,2021-07-01 10:54:27.455308,http://0.0.0.4:9383/mob_info_to_redis?uuid=a62dfc64-da17-11eb-9196-0242ac110003&user_id=TpPSMOEF,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079266
0.0.0.4,mobservice2,9c93009a121c86a1,b6069df310150add,a59107c087fb9e03,2021-07-01 10:54:27.386150,2021-07-01 10:54:27.455308,http://0.0.0.4:9383/mob_info_to_redis?uuid=a62dfc64-da17-11eb-9196-0242ac110003&user_id=TpPSMOEF,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079267
0.0.0.4,mobservice2,9c93009a121c86a1,b6069df310150add,a59107c087fb9e03,2021-07-01 10:54:27.386150,2021-07-01 10:54:27.455308,http://0.0.0.4:9383/mob_info_to_redis?uuid=a62dfc64-da17-11eb-9196-0242ac110003&user_id=TpPSMOEF,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079268
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079269
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079270
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079271
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079272
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079273
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079274
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079275
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079276
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079277
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079278
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079279
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079280
0.0.0.4,mobservice2,12ef1025e43ec0ef,e77e1106103a302d,c5d8951af2654cc,2021-07-01 14:11:53.908079,2021-07-01 14:11:54.215242,http://0.0.0.4:9383/mob_info_to_redis?uuid=3b12f3fa-da33-11eb-875f-0242ac110003&user_id=JKrdHZDV,200,request call function 1 mobservice2.mob_info_to_redis,0,0,1625079281
